,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
37,8.75,8.75,32.65504000694791,32.65504000694791,32.65504000694791,32.65504000694791,32.65504000694791,32.65504000694791,32.65504000694791
38,47.75,47.75,-53.93627224537508,-53.93627224537508,-53.93627224537508,-53.93627224537508,-53.93627224537508,-53.93627224537508,-53.93627224537508
39,211.25,211.25,11.837721348009794,11.837721348009794,11.837721348009794,11.837721348009794,11.837721348009794,11.837721348009794,11.837721348009794
40,278.5,278.5,70.9679918167438,70.9679918167438,70.9679918167438,70.9679918167438,70.9679918167438,70.9679918167438,70.9679918167438
41,30.0,30.0,15.268750434209203,15.268750434209203,15.268750434209203,15.268750434209203,15.268750434209203,15.268750434209203,15.268750434209203
42,69.5,69.5,5.363134216228025,5.363134216228025,5.363134216228025,5.363134216228025,5.363134216228025,5.363134216228025,5.363134216228025
43,113.25,113.25,-70.02724876408271,-70.02724876408271,-70.02724876408271,-70.02724876408271,-70.02724876408271,-70.02724876408271,-70.02724876408271
44,10.0,10.0,-85.54804961021871,-85.54804961021871,-85.54804961021871,-85.54804961021871,-85.54804961021871,-85.54804961021871,-85.54804961021871
45,88.5,88.5,5.748193173148785,5.748193173148785,5.748193173148785,5.748193173148785,5.748193173148785,5.748193173148785,5.748193173148785
46,54.0,54.0,-16.137838983996506,-16.137838983996506,-16.137838983996506,-16.137838983996506,-16.137838983996506,-16.137838983996506,-16.137838983996506
47,155.5,155.5,-31.90223261671625,-31.90223261671625,-31.90223261671625,-31.90223261671625,-31.90223261671625,-31.90223261671625,-31.90223261671625
48,12.0,12.0,-74.27404621534502,-74.27404621534502,-74.27404621534502,-74.27404621534502,-74.27404621534502,-74.27404621534502,-74.27404621534502
49,38.0,38.0,-36.19206055040323,-36.19206055040323,-36.19206055040323,-36.19206055040323,-36.19206055040323,-36.19206055040323,-36.19206055040323
